運動項目 ,消耗熱量(大卡/公斤體重/小時),40公斤運動30分鐘所消耗的熱量 (大卡),50公斤運動30分鐘所消耗的熱量 (大卡),60公斤運動30分鐘所消耗的熱量 (大卡),70公斤運動30分鐘所消耗的熱量 (大卡)
  慢走(4公里/小時),3.5,70,87.5,105,122.5
  快走、健走(6.0公里/小時),5.5,110,137.5,165,192.5
  下樓梯,3.2,64,80,96,112
  上樓梯,8.4,168,210,252,294
  慢跑(8公里/小時),8.2,164,205,246,287
  快跑(12公里/小時),12.7,254,317.5,381,444.5
  快跑(16公里/小時),16.8,336,420,504,588
  騎腳踏車(一般速度，10公里/小時),4,80,100,120,140
  騎腳踏車(快，20公里/小時),8.4,168,210,252,294
  騎腳踏車(很快，30公里/小時),12.6,252,315,378,441
  拖地,3.7,74,92.5,111,129.5
  園藝,4.2,84,105,126,147
  使用工具製造或修理(如水電工),5.3,106,132.5,159,185.5
  耕種、牧場、漁業、林業,7.4,148,185,222,259
  搬運重物,8.4,168,210,252,294
  瑜珈,3,60,75,90,105
  跳舞(慢)、元極舞,3.1,62,77.5,93,108.5
  跳舞(快)、國際標準舞,5.3,106,132.5,159,185.5
  飛盤,3.2,64,80,96,112
  排球,3.6,72,90,108,126
  保齡球,3.6,72,90,108,126
  太極拳,4.2,84,105,126,147
  乒乓球,4.2,84,105,126,147
  棒壘球,4.7,94,117.5,141,164.5
  高爾夫,5,100,125,150,175
  溜直排輪,5.1,102,127.5,153,178.5
  羽毛球,5.1,102,127.5,153,178.5
  游泳(慢),6.3,126,157.5,189,220.5
  游泳(較快),10,200,250,300,350
  籃球(半場),6.3,126,157.5,189,220.5
  籃球(全場),8.3,166,207.5,249,290.5
  有氧舞蹈,6.8,136,170,204,238
  網球,6.6,132,165,198,231
  足球,7.7,154,192.5,231,269.5
  跳繩(慢),8.4,168,210,252,294
  跳繩(快),12.6,252,315,378,441
